"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC Part"
"R1,R2,R3,R4,R14,R29,R31,R33,R38,R39,R40,R44,R46,R59","14","100K","","","","Resistor_SMD:R_0402_1005Metric","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_100KR-1003-1_C60491.html,https://lcsc.com/product-detail/Others_Huaxin-S-T-MR04X1002FTL_C327797.html","C327797,C60491"
"R5,R12","2","200R","","","","Resistor_SMD:R_0402_1005Metric","",""
"R6,R9","2","10R","","","","Resistor_SMD:R_0402_1005Metric","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_1KR-1001-1_C106235.html","C106235"
"R7,R11,R49","3","5.1K","","","","Resistor_SMD:R_0402_1005Metric","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_5-1KR-5101-1_C105872.html","C105872"
"R8","1","5mR 1%/1W","","","","Resistor_SMD:R_1206_3216Metric","",""
"R10,R26,R30,R36,R54,R55,R56,R57,R58","9","10K","","","","Resistor_SMD:R_0402_1005Metric","https://lcsc.com/product-detail/Others_Huaxin-S-T-MR04X1002FTL_C327797.html","C327797"
"R13","1","2K","","","","Resistor_SMD:R_0402_1005Metric","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_1KR-1001-1_C106235.html","C106235"
"R15","1","15K","","","","Resistor_SMD:R_0402_1005Metric","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount-UniOhm_15KR-1502-1_C25756.html","C25756"
"R16","1","20K","","","","Resistor_SMD:R_0402_1005Metric","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_20KR-2002-1_C93942.html","C93942"
"R17,R20,R23","3","1K","","","","Resistor_SMD:R_0402_1005Metric","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_1KR-1001-1_C106235.html","C106235"
"R18","1","4.12K","","","","Resistor_SMD:R_0402_1005Metric","https://lcsc.com/product-detail/Others_YAGEO-RC0402FR-074K12L_C327340.html","C327340"
"R19","1","17.33K","","","","Resistor_SMD:R_0402_1005Metric","","C851231"
"R21","1","2.49K","","","","Resistor_SMD:R_0402_1005Metric","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount-UniOhm_2-49KR-2491-1_C25884.html","C25884"
"R22","1","475K","","","","Resistor_SMD:R_0402_1005Metric","","C5713272"
"R24","1","91K","","","","Resistor_SMD:R_0402_1005Metric","https://lcsc.com/product-detail/Others_YAGEO-RC0402FR-0791KL_C327323.html","C327323"
"R25","1","51K","","","","Resistor_SMD:R_0402_1005Metric","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_51KR-5102-1_C107229.html","C107229"
"R27,R28,R50,R51,R52,R53","6","22R","","","","Resistor_SMD:R_0402_1005Metric","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_22R-22R0-1_C114765.html","C114765"
"R32","1","50mR","","","","Resistor_SMD:R_0805_2012Metric","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_0R-0R0-1_C106231.html","C106231"
"R35","1","470mR","","","","Resistor_SMD:R_0805_2012Metric","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_0R-0R0-1_C106231.html","C106231"
"R41","1","4.7R","","","","Resistor_SMD:R_0402_1005Metric","","C2909356"
"R42","1","1M","","","","Resistor_SMD:R_0402_1005Metric","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_1MR-1004-1_C138033.html","C138033"
"R43","1","2.2R","","","","Resistor_SMD:R_0402_1005Metric","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount-UniOhm_2-2R-2R20-1_C25101.html","C25101"
"R45,R47","2","0R","","","","Resistor_SMD:R_0402_1005Metric","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_0R-0R0-1_C106231.html","C106231"
"SW1,SW2","2","TS-1091C-A1B3-D2","","","","easyeda2kicad-oaf:KEY-SMD_3P-L5.5-W3.8-P3.00","","C2874581"
"TF1","1","TF-CARD XG8P H1.5","","","","easyeda2kicad-oaf:TF-SMD_TF-CARD-XG8P-H1.5","","C7529392"
"U1","1","W25N512GVEIG","","","","easyeda2kicad-oaf:WSON-8_L8.0-W6.0-P1.27-TL-1","","C3024446"
"U3","1","BQ27742YZFR-G1","","","","easyeda2kicad-oaf:DSBGA-15_L2.6-W2.0-R5-C3-P0.50-BL","","C2842397"
"U4","1","ESP32-C5-MINI-1","","","","Esparessif-oaf:ESP32-C5-MINI-1","https://documentation.espressif.com/esp32-c5-mini-1_datasheet_en.pdf",""
"U5","1","BQ25628RYKR","","","","easyeda2kicad-oaf:WQFN-18_L3.0-W2.5-P0.40-TL","","C6055599"
"U6","1","HYG-8503A","","","","easyeda2kicad-oaf:BUZ-SMD_4P-L8.5-W8.5-P8.50-BR","","C7544813"
"U7","1","TPL5010DDCR","","","","easyeda2kicad-oaf:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR","https://lcsc.com/product-detail/Timer_Texas-Instruments-Texas-Instruments-TPL5010DDCR_C473912.html","C473912"
"U8","1","TPS63802DLAR","","","","easyeda2kicad-oaf:VSON-10_L3.0-W2.0-P0.50-TL","","C2845237"
"U9","1","TPS7A0228DQNR","","","","easyeda2kicad-oaf:X2SON-4_L1.0-W1.0-P0.65-TL-EP","","C5220175"
"U13","1","SPL07-003","","","","easyeda2kicad-oaf:LGA-10_L2.0-W2.0-P0.50-BL","","C3253727"
"U14","1","LIS2DH12TR","","","","easyeda2kicad-oaf:LGA-12_L2.0-W2.0-P0.50-BL","https://lcsc.com/product-detail/Motion-Sensors-Accelerometers_STMicroelectronics_LIS2DH12TR_STMicroelectronics-LIS2DH12TR_C110926.html","C110926"
"U15","1","TMUX121NKGR_C22428404","","","","easyeda2kicad-oaf:UQFN-10_L1.8-W1.4-P0.40-BL","","C22428404"
"U17","1","TCA6408ARGT","","","","Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm","https://www.ti.com/lit/gpn/tca6408a",""
"U18","1","TAU1113","","","","RF_GPS-oaf:TAU1113","https://docs.datagnss.com/rtk-board/files/T-5-2208-TAU1113%20Datasheet-V1.4.pdf",""
"U19","1","LM66200DRLR","","","","easyeda2kicad-oaf:SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BL","","C3235556"
"U20","1","LP5036","","","","Package_DFN_QFN:VQFN-46-1EP_5x6mm_P0.4mm_EP2.8x3.8mm","http://www.ti.com/lit/ds/symlink/lp5036.pdf",""
"USB1","1","GT-USB-7010ASV","","","","easyeda2kicad-oaf:USB-C-SMD_G-SWITCH_GT-USB-7010ASV","","C2988369"
